Gene_set	Z_score(n-LEGO)	P_value(n-LEGO)	Z_score(e-LEGO)	P_value(e-LEGO)	gsSize	gsSize_net	intSize	intSize_net	overlapSize	InterestingGeneListID
208	-0.366122	0.642880	0.082524	0.467115	27	24	170	151	0	1
209	-0.252981	0.599864	-0.101368	0.540372	13	13	170	151	0	1
210	-0.293966	0.615617	-1.017538	0.846571	21	17	170	151	0	1
211	-0.235873	0.593239	-0.668472	0.748240	12	10	170	151	0	1
212	-0.303828	0.619380	-1.348286	0.915419	17	16	170	151	0	1
213	-0.232958	0.592108	-0.036078	0.514390	18	13	170	151	0	1
214	-0.314289	0.623360	-2.405263	1.000000	29	22	170	151	0	1
215	-0.229839	0.590896	1.914207	0.027797	11	11	170	151	0	1
216	-0.276274	0.608838	-1.686371	0.968305	26	21	170	151	0	1
217	-0.291715	0.614756	-1.610555	0.957326	20	17	170	151	0	1
218	-0.465064	0.679096	-1.136982	0.873983	62	52	170	151	0	1
219	-0.446904	0.672562	-2.211900	1.000000	32	26	170	151	0	1
220	-0.292694	0.615131	-1.605421	0.956572	27	20	170	151	0	1
221	-0.278690	0.609766	-0.990617	0.839961	28	24	170	151	0	1
222	-0.272422	0.607359	-1.502281	0.940975	34	27	170	151	0	1
223	-0.256596	0.601261	-1.396505	0.923779	26	23	170	151	0	1
224	-0.285525	0.612387	-1.009848	0.844699	25	23	170	151	0	1
225	-0.357144	0.639524	-1.156357	0.878143	42	36	170	151	0	1
226	-0.266927	0.605244	-0.583928	0.720457	17	14	170	151	0	1
227	-0.237544	0.593888	-0.772606	0.780412	16	16	170	151	0	1
228	-0.347898	0.636056	-0.781453	0.783036	55	51	170	151	0	1
229	-0.847010	0.801940	-1.781058	0.981844	135	112	170	151	0	1
230	-0.545523	0.707373	-1.346000	0.915014	159	136	170	151	3	1
231	-0.522871	0.699528	-0.800706	0.788687	98	83	170	151	1	1
232	-0.317376	0.624532	-1.038027	0.851494	32	27	170	151	0	1
233	-0.211877	0.583902	-0.918114	0.821348	31	25	170	151	0	1
234	-0.229893	0.590917	-1.755186	0.978140	34	28	170	151	1	1
235	-0.415586	0.661170	-1.135637	0.873691	44	34	170	151	0	1
236	-0.216122	0.585558	-1.963779	1.000000	11	7	170	151	0	1
237	-0.231633	0.591593	-1.593477	0.954810	44	39	170	151	1	1
238	-0.331278	0.629795	-0.850376	0.802884	54	43	170	151	0	1
239	-0.298435	0.617324	-0.906264	0.818193	29	26	170	151	0	1
240	-0.387993	0.651011	-2.077313	1.000000	42	32	170	151	0	1
241	-0.263674	0.603991	-1.843177	0.990832	18	13	170	151	0	1
242	-0.315793	0.623931	-1.159805	0.878875	40	37	170	151	0	1
243	-0.270600	0.606658	-1.190700	0.885328	22	20	170	151	0	1
244	3.032740	0.001212	0.136050	0.445891	10	7	170	151	1	1
245	-0.276548	0.608944	-2.167835	1.000000	26	23	170	151	0	1
246	1.291995	0.098180	-0.319806	0.625454	50	40	170	151	2	1
247	-0.365562	0.642671	-0.864301	0.806765	52	40	170	151	0	1
248	-0.383549	0.649364	-1.493640	0.939622	46	40	170	151	0	1
249	-0.235504	0.593096	-1.336109	0.913250	16	12	170	151	0	1
250	-0.273832	0.607900	-0.456979	0.676194	30	23	170	151	0	1
251	-0.332326	0.630191	-1.485190	0.938291	44	36	170	151	0	1
252	-0.283472	0.611601	-0.848738	0.802425	21	18	170	151	0	1
253	-0.217591	0.586130	-0.754946	0.775121	22	19	170	151	0	1
254	2.668019	0.003815	0.000832	0.499668	15	14	170	151	1	1
255	-0.295255	0.616110	-0.751755	0.774158	26	23	170	151	0	1
256	-0.125548	0.549956	-0.698873	0.757873	49	40	170	151	2	1
257	-0.313148	0.622927	-0.626144	0.734510	54	46	170	151	0	1
258	-0.259337	0.602318	-0.665105	0.747162	25	22	170	151	0	1
